date,sentiment,trend
2021-01-04,-0.1027,0
2021-01-04,-0.3182,0
2021-01-04,0.0,0
2021-01-04,-0.7003,0
2021-01-04,0.5106,1
2021-01-04,-0.6557,0
2021-01-04,0.0,0
2021-01-04,-0.34,0
2021-01-04,0.4019,1
2021-01-04,-0.4404,0
2021-01-04,0.0,0
2021-01-04,0.2732,1
2021-01-04,0.4588,1
2021-01-04,0.4404,1
2021-01-04,0.0,0
2021-01-04,0.3612,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.5994,1
2021-01-04,0.0,0
2021-01-04,-0.1531,0
2021-01-04,-0.2263,0
2021-01-04,-0.4404,0
2021-01-04,-0.4404,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,-0.4019,0
2021-01-04,-0.4767,0
2021-01-04,0.5267,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.4404,1
2021-01-04,0.9042,1
2021-01-04,0.0,0
2021-01-04,0.7043,1
2021-01-04,0.4404,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.2732,1
2021-01-04,-0.5106,0
2021-01-04,0.9201,1
2021-01-04,0.0,0
2021-01-04,0.4215,1
2021-01-04,-0.0258,0
2021-01-04,-0.5859,0
2021-01-04,0.2023,1
2021-01-04,0.5859,1
2021-01-04,0.4019,1
2021-01-04,-0.2732,0
2021-01-04,0.0258,0
2021-01-04,0.5574,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,-0.4019,0
2021-01-04,0.296,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,-0.6249,0
2021-01-04,0.0,0
2021-01-04,0.34,1
2021-01-04,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.6908,1
2021-01-05,0.7845,1
2021-01-05,0.4767,1
2021-01-05,0.7845,1
2021-01-05,0.6808,1
2021-01-05,0.7506,1
2021-01-05,0.0,0
2021-01-05,0.4215,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.3612,1
2021-01-05,0.2023,1
2021-01-05,-0.5574,0
2021-01-05,0.0,0
2021-01-05,-0.5267,0
2021-01-05,0.7399,1
2021-01-05,0.0,0
2021-01-05,-0.0516,0
2021-01-05,0.4939,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.6249,1
2021-01-05,0.4774,1
2021-01-05,0.7964,1
2021-01-05,0.4215,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.3818,0
2021-01-05,0.7579,1
2021-01-05,0.0,0
2021-01-05,0.7436,1
2021-01-05,0.6908,1
2021-01-05,0.0,0
2021-01-05,0.4019,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.2732,1
2021-01-05,-0.4019,0
2021-01-05,0.7783,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.743,1
2021-01-05,0.5994,1
2021-01-05,0.7096,1
2021-01-05,0.0,0
2021-01-05,0.743,1
2021-01-05,0.6369,1
2021-01-05,0.0,0
2021-01-05,0.4404,1
2021-01-05,0.5753,1
2021-01-05,0.0772,1
2021-01-05,0.5859,1
2021-01-05,0.5574,1
2021-01-05,0.2023,1
2021-01-05,0.5267,1
2021-01-05,0.6908,1
2021-01-05,0.4588,1
2021-01-05,-0.4939,0
2021-01-05,0.4404,1
2021-01-05,0.8519,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.4767,1
2021-01-05,0.5719,1
2021-01-05,0.3612,1
2021-01-05,0.7717,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.7845,1
2021-01-05,-0.296,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.3818,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0736,1
2021-01-05,0.6369,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.1531,0
2021-01-05,0.0,0
2021-01-05,-0.25,0
2021-01-05,0.0,0
2021-01-05,0.4588,1
2021-01-05,-0.34,0
2021-01-05,0.128,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.4404,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.2732,0
2021-01-05,0.765,1
2021-01-05,0.7269,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0772,1
2021-01-05,-0.4019,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.7717,1
2021-01-05,0.0,0
2021-01-05,-0.1779,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.3612,1
2021-01-05,0.5859,1
2021-01-05,0.4939,1
2021-01-05,0.3612,1
2021-01-05,0.0,0
2021-01-05,0.5859,1
2021-01-05,0.8591,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.3182,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.1531,0
2021-01-05,0.0,0
2021-01-05,0.8442,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.6808,1
2021-01-05,0.6705,1
2021-01-05,0.0,0
2021-01-05,0.3612,1
2021-01-05,-0.6597,0
2021-01-05,0.0,0
2021-01-05,-0.0772,0
2021-01-05,0.6597,1
2021-01-05,0.765,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.7003,1
2021-01-05,0.3612,1
2021-01-05,0.4404,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.2023,1
2021-01-05,0.0,0
2021-01-05,0.8781,1
2021-01-05,0.0,0
2021-01-05,0.5994,1
2021-01-05,0.2732,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.34,1
2021-01-05,0.4404,1
2021-01-05,0.0,0
2021-01-05,0.3612,1
2021-01-05,0.0,0
2021-01-05,0.4404,1
2021-01-05,0.0,0
2021-01-05,-0.6597,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.5106,1
2021-01-05,0.3818,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.6808,1
2021-01-05,0.0,0
2021-01-05,0.6908,1
2021-01-05,0.0,0
2021-01-05,0.4019,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.4215,1
2021-01-05,0.4215,1
2021-01-05,0.0,0
2021-01-05,0.2732,1
2021-01-05,0.2023,1
2021-01-05,0.5859,1
2021-01-05,0.0,0
2021-01-05,0.6908,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.0258,0
2021-01-05,0.5859,1
2021-01-05,0.0,0
2021-01-05,0.6369,1
